	fastcore_M12.3.16.CCs_4	fastcore_M12.3.16.CSCs_2	fastcore_M4.2.10.CSCs_3	fastcore_M4.2.7.CCs_1	fastcore_M4.2.7.CCs_2	fastcore_M4.2.7.CSCs_1	fastcore_M4.2.7.CSCs_2
3DHCHOLt2	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)
3DHDCAS	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3DHDCAabc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3DHDCAt	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3DHDCAt2	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)
3DHLCAS	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3DHLCAabc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3DHLCAt	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3DHLCAt2	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3DPHBH1	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3H3MGLTc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
